sample_id	K4_sce_proportion	K4_A1_proportion	K4_B_proportion	K4_A2_proportion	archetype_k4_LF3_label
LNET13T	0.0442190805028178	0.707217737117141	0.0898051893899656	0.158757992990075	Ca A1
LNET14T	0.319670046678356	0.572464949405263	0.0452357521757741	0.0626292517406064	Ca A1
LNET16T	0.435066374960194	0.385758208620423	0.118781192277289	0.0603942241420943	sc-enriched
LNET19T	0.295895236619619	0	0	0.704104763380381	Ca A2
LNET2T	0.159278971534856	0.231055084314316	0.318076019074109	0.29158992507672	Ca B
LNET5T	0.138978487462606	0.791973631410658	0.0631713444196897	0.0058765367070461	Ca A1
LNET6T	0.0809634855950898	0.780491751636642	0.0240679997887613	0.114476762979507	Ca A1
Lu_Aty2	0.890926305447656	0	0.109073694552343	0	sc-enriched
S00016	0.00873308133639056	0.933800715949116	0.0113688857025105	0.0460973170119828	Ca A1
S00076	0.245197855067952	0.619341997803484	0.11214913458498	0.023311012543585	Ca A1
S00089	0.0717088656979867	0.341399315231781	0.586891819070232	0	Ca B
S00094	0	0.0428365634599743	0.166343878184494	0.790819558355531	Ca A2
S00118	0.130623850173743	0.312570732201539	0.545317108839138	0.0114883087855807	Ca B
S00128	0.0877195983551471	0.421691256743617	0.398537659944661	0.092051484956575	Ca A1
S00515	0.122748551503048	0.0809359131095574	0.0311582431519733	0.765157292235422	Ca A2
S00516	0.1109990075198	0.0322575970622885	0	0.856743395417911	Ca A2
S00520	0.101671338436234	0	0.79802707361322	0.100301587950546	Ca B
S00716_B	0.0759549782901539	0	0.900030506977155	0.0240145147326912	Ca B
S00858	0.0167486418689977	0.0784608164615376	0.126688591611971	0.778101950057493	Ca A2
S01060_B_TU	0	0.871456986869996	0	0.128543013130004	Ca A1
S01103	0.00566216233365388	0.0671888575188048	0.0982170930752655	0.828931887072276	Ca A2
S01202	0	0.0146238969668436	0.909151701319052	0.0762244017141049	Ca B
S01493	0.0486045739855205	0.00603680857967509	0.714422355581757	0.230936261853048	Ca B
S01501	0.157039606395304	0.827251398439294	0	0.0157089951654017	Ca A1
S01502	0.155321820642737	0.741079041557223	0.0738929815539672	0.029706156246073	Ca A1
S01504_B_TU	0.218704895280696	0.708276059413704	0.0730190453056	0	Ca A1
S01510	0	0.0816015736071652	0.891437645823989	0.0269607805688456	Ca B
S01513	0.562527591097759	0.159740410063401	0.203175545909342	0.074556452929498	sc-enriched
S01515	0.239416910982939	0.422343950638021	0.111634827081734	0.226604311297306	Ca A1
S01519	0	0.835515073018635	0.0827435838877509	0.0817413430936141	Ca A1
S01520	0.186286545421428	0.644579724392599	0.0615215504764804	0.107612179709492	Ca A1
S01521	0.0502023843874989	0	0	0.949797615612501	Ca A2
S01522	0.364605110586632	0.533810308954347	0.101584580459022	0	Ca A1
S01526	0.0604345807271616	0.0391212706290315	0	0.900444148643807	Ca A2
S01528	0.00378121328313048	0.913971681190065	0.0116262673316856	0.0706208381951185	Ca A1
S01529	0	0.0449484071791408	0.0556782588619538	0.899373333958905	Ca A2
S01531	0.106874437221944	0	0	0.893125562778056	Ca A2
S01532	0.00267094734744054	0.0547827889919099	0.0292774569017124	0.913268806758937	Ca A2
S01536	0.00682374110919692	0.808065486248543	0.0330239415078496	0.15208683113441	Ca A1
S01537	0.0614417716889419	0.0283457454687472	0.0472094531175925	0.863003029724719	Ca A2
S01538	0.108726292556855	0.0248775259999253	0.0201614001729101	0.846234781270309	Ca A2
S01539	0.0247179944434703	0.153054347968619	0.103323325006179	0.718904332581731	Ca A2
